original_text,summary_text,rouge_1_f1,rouge_2_f1
앵커 유독 무속 논란이 끊이지 않았던 윤 전 대통령 부부는 무속 논란으로 코너에 몰릴 때마다 무속과 상극으로 여겨지는 개신교계의 원로들을 찾았습니다 그리고 이렇게 무속 논란에 휩싸...,김건희 특검팀의 정조준하고 있는 삼부토건 주가조작 의혹 관련해 삼부토건 회장과 전 대표이사가 구속됐습니다,0.07272727272727272,0.0
앵커 채 상병 특검팀이 이른바 VIP 격노설 을 뒷 받침할 또 다른 진술을 확보했습니다 얼마 전 김태효 전 안보실 1차장은 특검에서 윤 전 대통령이 당시 보고를 받고 크게 화를 냈...,어제에 어제에 이어 오늘도 장관 후보자 4명과 국세청장 후보자에 대한 인사청문회가 열리고 있습니다,0.0,0.0
윤석열 정권의 외교안보 실세 참모였던 김태효 전 국가안보실 1차장이 순직해병 특검에 출석해 VIP 격노설 을 처음으로 인정하는 취지로 진술한 것으로 알려졌습니다 김 전 차장은 어제...,전북도 선거관리위원회가 위원회의를 열어 전북도 교육감 재선거를 실시하지 않기로 결정했습니다,0.0,0.0
허가 받지 않은 개미를 식품으로 사용한 식당 대표가 당국에 적발됐습니다 식품의약품안전처는 식품 원료 허가 절차를 거치지 않은 개미로 음식을 조리하고 판매한 식당 대표와 법인을 식품...,김건희 특검팀이 윤석열 전 대통령 부부가 연루된 공천개입 의혹을 조사하기 위해 첫 강제수사에 착수했습니다,0.0,0.0
이재명 대통령이 오늘 오후 취임 후 첫 국가안전보장회의 NSC 전체회의를 주재하고 하반기 안보 분야 업무 보고를 받을 예정입니다 최근 미국과의 관세 협상에서 의제로 다뤄지는 안보 ...,안철수 의원이 당 혁신위원장에서 사퇴한 이후 국민의힘에선 내홍이 격화하고 있습니다,0.0,0.0
KBS 부산 부산과 서울 대구 인천 등 6개 도시철도 운영기관 노사가 무임승차 손실에 대한 국비 보전 법제화를 촉구했습니다 6개 기관 노사 대표는 어제 9일 국정기획위를 찾아 초고...,제9 제9대 춘천교육대학교 총장 임용 선거가 이달 7월 23일 치러집니다,0.0,0.0
12 3 내란 사태를 수사하는 조은석 특별검사팀이 오늘 홍장원 전 국가정보원 1차장을 소환해 조사하고 있습니다 특검팀은 홍 전 차장이 폭로한 윤석열 전 대통령의 정치인 법조인 체포...,더불어민주당과 국민의힘이 민생 협의체를 구성하고 대선 공통 공약을 신속 추진하기로 했습니다,0.0,0.0
앵커 내란특검팀이 김성훈 전 경호처 차장을 조사하면서 김 전 차장이 윤석열 전 대통령 뿐 아니라 윤 전 대통령 배우자와 나눴던 메신저 대화에 대해 따져물은 것으로 확인됐습니다 특검...,윤석열 전 대통령이 오늘 내란 특검에 두 번째로 출석해 조사를 받았습니다,0.07692307692307693,0.03508771929824561
김건희 여사 관련 의혹을 수사하는 민중기 특별검사팀은 오늘 오전 국민의힘 윤상현 의원의 국회 사무실과 자택 김영선 전 의원의 자택 국회의원 선거에 나서려 했던 김상민 전 검사의 자...,이진숙 사회부총리 겸 교육부 장관 후보자의 교수 시절 논문에 대해 학계의 공개 검증이 시작됩니다,0.0,0.0
대통령실 위성락 국가안보실장이 마르코 루비오 미 국무장관과 한미 안보실장 협의를 진행하고 한미 정상 회담과 관세 협상 등 양국 현안에 대한 논의를 진행했습니다 대통령실은 위 실장이...,이재명 대통령이 주요 국가들에 특사를 보내려고 준비 중인 것으로 확인됐습니다,0.0,0.0
앵커 이렇게 내란 특검팀이 윤 전 대통령의 지시 사항을 근거로 구속영장을 청구할 수 있었던 건 수사 과정에서 다양한 진술들을 확보했기 때문입니다 이 가운데서는 특히 윤 전 대통령의...,김민석 김민석 총리 후보자에 대한 인준안이 인준안이 여당 주도로 국회 본회의를 통과했습니다,0.0,0.0
앵커 내란특검의 윤석열 전 대통령 2차 조사가 내일 오전 9시부터 시작되는데요 그런데 바로 근처에 살면서도 정각에 출석하면 안 되는 이유라도 있는 건지 벌써부터 1 20분 늦을 수...,이재명 대통령이 오늘 1일 국무회의를 주재하며 국무위원들을 향해 쓴소리를 했습니다,0.0,0.0
앵커 특검 수사 상황 전해드립니다 내란 특검이 김주현 전 민정수석을 불러 12시간 동안 조사했습니다 김 전 수석은 비상계엄 해제 다음 날 이른바 안가 회동 에 참석한 인물로 사후 ...,전국법관대표회의가 대선 이후 다시 열려 재판 독립과 사법 신뢰에 관한 안건들을 논의했지만 결국 빈손으로 마무리됐습니다,0.0,0.0
1 한덕수 13시간 조사 김 여사 등 20여 명 출금 내란 동조 의혹을 받는 한덕수 전 총리가 계엄 선포문 사후 작성과 폐기 의혹 등에 대해 13시간 넘게 강도 높은 특검 조사를 ...,지금 이 시각 대한민국 전직 대통령이 특검에 소환돼 조사를 받고 있습니다,0.034482758620689655,0.0
KBS 대구 환경부가 대구 취수원 안동댐 이전안에 대한 재검토를 처음 공식화했습니다 금한승 신임 환경부 차관은 어제 1일 국회 예결위에 나와 안동댐 취수안이 기존 구미 해평 취수안...,대선 후보 김문수 한덕수 후보 단일화 파동을 조사하고 있는 국민의힘이 중간조사 결과를 발표했습니다,0.0,0.0
KBS 대구 환경부가 대구 취수원 안동댐 이전안에 대한 재검토를 처음 공식화했습니다 금한승 신임 환경부 차관은 어제 1일 국회 예결위에 나와 안동댐 취수안이 기존 구미 해평 취수안...,서거석 전북교육감이 중도 낙마함에 따라 남은 임기 1년은 남은 임기 1년은 부교육감 체제로 운영됩니다,0.0,0.0
국회 법제사법위원회가 오늘 2일 주주에 대한 이사의 충실 의무를 규정하는 상법 개정안에 대해 논의합니다 여야 원내지도부는 어제 1일 회동을 갖고 상법 개정안에 대해 법사위 법안소위...,대법원은 허위사실공표 혐의로 기소돼 3년 가까이 재판을 받아온 서거석 전 전북교육감의 당선무효형이 확정됐습니다,0.0,0.0
12 3 내란 사태를 수사하는 내란 특검팀이 오늘 강의구 전 대통령실 부속실장을 불러 조사하고 있습니다 강 전 실장은 지난해 12월 3일 윤석열 전 대통령이 비상계엄을 선포하기 전...,국회에서는 김민석 총리 후보자 인사청문회가 이틀째 진행되고 있는 김민석 총리 후보자 인사청문회가 이틀째 진행되고 있습니다,0.038461538461538464,0.0
12 3 내란 사건을 수사 중인 조은석 특별검사팀이 내일 윤석열 전 대통령 소환 조사와 관련해 윤 전 대통령이 요구한 지하주차장 출석을 수용할 수 없다는 입장을 분명히 밝혔습니다 ...,이번 대선에서 충북 표심의 90 가 더불어민주당과 국민의힘 후보에게 쏠렸습니다,0.0,0.0
윤석열 전 대통령의 특검 조사를 하루 앞둔 오늘 내란 특검이 현관 출석을 전제로 윤 전 대통령의 조사를 준비하고 있다며 서울고검 지하주차장을 모두 차단할 예정이라고 밝혔습니다 내란...,박종훈 박종훈 경남교육감은 롯데백화점 마산점을 독자적으로 매입하는 방안에 대해 부적합 하다는 결론을 내렸다고 밝혔습니다,0.03703703703703704,0.0
KBS 제주 북한 간첩으로 몰려 사형을 당한 제주 간첩 조작 사건 피해자 고 오경무 씨가 재심을 통해 58년 만에 무죄를 확정받았습니다 대법원은 반공법 위반 등의 혐의로 기소된 오...,이재명 대통령이 취임 18일 만에 관저에서 여야 지도부를 관저로 초청해 오찬 회동을 했습니다,0.034482758620689655,0.0
안민석 전 더불어민주당 의원이 박근혜 정부 국정농단 핵심 인물 최서원 씨의 재산 은닉 의혹을 제기했던 것과 관련해 일부 손해배상 책임이 인정된다는 취지의 대법원 판단이 나왔습니다 ...,이진 이진숙 위원장 1인 체제로 운영 중인 방송통신위원회의 업무보고도 약 1시간 반 만에 중단됐습니다,0.0,0.0
미국 트럼프 정권의 국방비 청구서 에 대한 아시아 유럽 주요 동맹국의 불만이 점차 커지고 있는데요 특히 미국의 의중을 거스르지 않는 것으로 유명한 일본이 이례적으로 미국에 반발하는...,북한이 5천 톤 톤급 구축함 진수식을 하다가 선체가 넘어지면서 파손되는 사고가 있었는데요,0.0,0.0
더불어민주당 김병기 신임 원내대표 겸 당 대표 직무대행이 취임 후 첫 지도부 회의를 열고 민주당은 이재명 정부를 강력히 뒷받침하는 불침의 항공모함이 되겠다 고 밝혔습니다 김 직무대...,국회와 소통 등 가교 역할을 할 정무수석에는 4선의 민주당 중진 우상호 전 의원이 발탁됐습니다,0.0,0.0
이재명 대통령이 오늘 오전 용산 대통령실에서 5대 그룹 총수와 경제 6단체장이 참석하는 경제인 간담회를 가집니다 G7 정상회의 출국을 앞둔 이 대통령은 처음으로 재계 총수들을 만나...,북한이 이재 이재명 대통령이 당선됐다는 소식을 대선 이틀 만에 보도했습니다,0.06557377049180327,0.03389830508474577
이재명 대통령이 오늘 오전 10시 용산 대통령실에서 이재용 삼성전자 회장과 정의선 현대차그룹 회장 최태원 SK 회장 등 5대 그룹 총수와 경제 6단체장들을 초청해 간담회를 진행합니...,김민석 국무총리 후보자는 오전 9시쯤 서울 종로구 통의동에 있는 서울 종로구 통의동에 있는 인사청문회 준비단,0.03389830508474576,0.0
이재명 대통령이 오늘 오전 용산 대통령실에서 5대 그룹 총수와 경제 6단체장이 참석하는 경제인 간담회를 가집니다 G7 정상회의 출국을 앞둔 이 대통령은 처음으로 재계 총수들을 만나...,민주당 전북도당은 이번 대선 결과를 바탕으로 전북이 중심이 중심이 돼 미래를 주도하는 시대를 만들겠다고 강조했는데요,0.0,0.0
이재명 대통령은 오늘 13일 오전 10시 용산 대통령실에서 6개 경제 단체장과 삼성 SK 현대차 LG 롯데 5대 그룹 총수가 참석하는 경제인 간담회를 가질 예정입니다 이 대통령이 ...,윤석열 정부 때 존폐 위기에 놓였던 여성가족부가 기사회생할 것으로 보입니다,0.0,0.0
KBS 창원 국민의 힘이 연일 내홍을 겪고 있습니다 차기 당 주도권을 둘러싼 갈등입니다 10년도 안 돼 대통령 두 명이 탄핵당하고 최근 세 번의 총선에서 내리 참패했지만 전혀 급한...,이재명 대통령이 이르면 오늘 도널드 트럼프 미국 대통령과 첫 통화를 할 것으로 보입니다,0.0634920634920635,0.0
KBS 전주 전북도는 오늘 10 김관영 도지사 주재로 대선 공약 대응 보고회 를 열고 전북 공약의 이행 전략과 국정과제 반영 방안을 점검했습니다 이재명 대통령의 전북 7대 광역 공...,편상상욱의 뉴스브리핑 인터뷰를 인용보도할 때는 프로그램명 SBS 을 정확히 밝혀주시기 바랍,0.0,0.0
윤석열 전 대통령이 대선 후 처음으로 법원 출석을 위해 포토라인에 섰지만 특검 등에 대한 취재진의 질문에 아무 답변을 하지 않았습니다 서울중앙지법 형사합의25부는 오늘 윤 전 대통...,편상상욱의 뉴스브리핑 인터뷰를 인용보도할 때는 프로그램명 SBS 을 정확히 밝혀주시기 바랍니다 저작권은 SBS에 있습니다,0.03508771929824561,0.0
이재명 대통령은 조금 전인 오전 10시부터 용산 대통령실에서 비상경제점검 TF 2차 회의를 주재하고 있습니다 이 대통령은 취임 첫날 1차 회의에서 경제 회복을 위해 필요한 추경 규...,60일간의 짧은 기간이었지만 60일 간의 짧은 기간이었지만 판세에 영향을 줄 만한 변수도 적지 않았습니다,0.0,0.0
이재명 대통령은 오늘 용산 대통령실에서 비상경제점검 TF 2차 회의를 주재합니다 취임 첫날 1차 회의에서 경제 회복을 위해 필요한 추경 규모와 재정 여력 경기 진작 효과 등을 중점...,KBS 청주 청주 앵커 대선 공식 선거운동은 어제 자정에 끝났습니다,0.0,0.0
앵커 이재명 대통령이 어젯밤 도널드 트럼프 미국 대통령과 취임 후 첫 전화 통화를 하고 정상외교 행보를 시작했습니다 약 20분간 이어진 통화에서 두 정상은 한미동맹 발전에 협력하고...,제21대 대통령선거 본 투표가 오늘 3일 오전 6시부터 저녁 8시까지 진행됩니다,0.0,0.0
이재명 대통령이 이르면 오늘 도널드 트럼프 미국 대통령과 첫 통화를 할 것으로 보입니다 외교 소식통에 따르면 한국과 미국 정부는 이 대통령과 트럼프 대통령의 전화 통화 일정을 조율...,오늘 30일 은 30일 은 30일 은 대선 후보들이 밝힌 소상공인 자영업자 지원 공약을 검증합니다,0.037037037037037035,0.0
이재명 대통령이 오늘 5일 오전 10시 용산 대통령실에서 취임 후 첫 국무회의를 주재하고 부처별 현안 파악에 나섭니다 이 대통령은 국정 최우선 과제로 민생과 경제 회복을 내건 만큼...,이재명 후보가 장남이 장남이 성폭력성 댓글로 처벌받은 데 대해 자신의 잘못 이라며 자세를 낮췄습니다,0.034482758620689655,0.0
이재명 대통령이 이르면 오늘 도널드 트럼프 미국 대통령과 첫 통화를 할 것으로 보입니다 외교 소식통에 따르면 한국과 미국 정부는 오늘 중 두 정상이 전화 통화를 하는 일정을 조율하...,국민의힘 김용태 비상대책위원장이 전북을 찾아 사전 투표를 한 뒤 길거리 유세를 벌였습니다,0.0,0.0
KBS 대전 대전과 세종 충남 선거관리위원회가 제21대 대통령 선거를 차질 없이 관리하기 위해 선거 전날인 내일 2일 까지 대전과 세종 충남 투표소 천 205곳과 개표소 22곳의 ...,그제 토론회에서 나온 이재명 김문수 후보의 부정선거 관련 발언들이 하루 종일 논란이 됐습니다,0.0,0.0
