original_text,provided_summary,baseline_rouge1,tfidf_rouge1,position_rouge1,keyword_rouge1,ensemble_rouge1
앵커 이재명 대통령이 경기도 가평과 전남 담양 경남 산청 등 6개 시군을 특별재난지역으로 선포했습니다 이 대통령은 재난 상황에서 부적절한 공직자들의 처신 문제도 거론했는데 엄혹한 ...,이재명 이재명 대통령이 경기도 가평과 전남 담양 경남 산청 등 6개 시군을 특별재난지역으로 선포했습니다,0.48148148148148145,1.0,1.0,1.0,1.0
KBS 춘천 앵커 신경호 강원도교육감에 대한 결심공판이 어제22일 열렸습니다 2023년 재판이 시작된 이후 2년만의 일이었는데요 검찰은 신 교육감에게 징역형을 내려야한다고 주장했습...,2023년3년 재판이 시작된 이후 2년만의 일이었는데요 검찰은 신 교육감에게 징역형을 내려야한다고 주장했습니다,0.4888888888888888,1.0,1.0,1.0,1.0
앵커 새 정부 인사들의 과거 발언이 잇따라 논란입니다 강준욱 대통령실 국민통합비서관이 계엄 옹호 발언 등으로 결국 자진 사퇴했고 최동석 인사혁신처장도 박원순 전 시장 사건을 두고 ...,강준욱 대통령실 국민통합비서관이 계엄 옹호 발언 등으로 결국 자진 사퇴했고 최동석 인사혁신처장도 박원순 전 시장 사건을 두고 한 과거 발언이 2차 가해 논란에 섰습니다,0.7164179104477612,1.0,1.0,1.0,1.0
이재명 대통령은 국회에 강선우 여성가족부 장관 후보자를 포함해 국방부와 국가보훈부 통일부 장관 후보자에 대한 인사청문보고서를 내일까지 재송부해 달라고 요청했습니다 강유정 대통령실 ...,이재명 이재명 대통령은 국회에 강선우 여성가족부 장관 후보자를 포함해 국방부와 국가보훈부 통일부 장관 후보자에 대한 인사청문보고서를 내일까지 재송부해 달라고 요청했습니다,0.5901639344262295,1.0,1.0,1.0,1.0
정부가 경기 가평 충남 서산 예산 전남 담양 경남 산청 합천을 특별재난지역으로 우선 선포했습니다 중앙재난안전대책본부는 집중호우 피해지역에 대한 사전조사를 토대로 6개 지자체에 대해...,중앙재난안전대책본부는 집중호우 피해지역에 집중호우 피해지역에 집중호우 피해지역에 대한 사전조사를 토대로 6개 지자체에 대해서 대통령 재가를 받아 특별재난지역으로 우선 선포했다고 밝...,0.5714285714285715,1.0,1.0,1.0,1.0
KBS 광주 앵커 수해 복구를 위해 호남을 찾은 정청래 박찬대 더불어민주당 대표 후보가 당선되면 호남 최고위원을 발탁하겠다고 약속했습니다 두 후보 모두 기후에너지부의 호남 유치도 ...,수해 복구를 호남을 호남을 찾은 정청래 박찬대 더불어민주당 대표 후보가 당선되면 호남 최고위원을 발탁하겠다고 약속했습니다,0.56,1.0,1.0,1.0,1.0
KBS 대구 앵커 국민의힘 전당대회가 한 달 앞으로 다가온 가운데 당권 주자인 조경태 의원이 대구를 찾았습니다 산업통상자원부를 대구로 옮기고 극우와는 결별하겠다고 약속했는데 탄핵 ...,KBS 대구 대구 앵커 국민의힘 전당대회가 한 달 앞으로 다가온 가운데 당권 주자인 조경태 의원이 당권 주자인 조경태 의원이 대구를 찾았습니다,0.5517241379310345,1.0,1.0,1.0,1.0
KBS 창원 이재명 대통령이 어제22일 경남 산청과 합천 경기도 가평 등 전국 6개 시군을 특별재난지역으로 우선 선포했습니다 해당 지역에는 재난 복구 국비가 추가 지원되고 피해 주...,어제 어제 이재명 대통령이 어제 22일 경남 산청과 합천 경기도 가평 등 전국 6개 시군을 특별재난지역으로 우선 선포하였는데 해당 지역에는 재난 복구 국비가 추가 지원되고 피해 주...,0.75,1.0,1.0,1.0,1.0
KBS 전주 앵커 최근 가까스로 통과된 전북도의회 예산결산특별위원 선임안을 두고 반발이 여전합니다 청탁 의혹을 받는 박용근 의원에 대한 도의회 징계 절차도 시작됐는데요 끊이지 않는...,전북도의회 예산결산특별위원 선임안을 두고 반발이 여전합니다 청탁 의혹을 받는 박용근 의원에 대한 도의회 징계 절차도 시작됐는데요,0.5818181818181819,1.0,1.0,1.0,1.0
앵커 계속된 논란에도 여당에서는 강선우 여성가족부 장관 후보자를 옹호하는 기류가 여전합니다 의원의 사적인 일을 자발적으로 도와주는 보좌진들도 있다는 주장을 펴는가 하면 도리어 정영...,박하정 기자입니다 집권여당 민주당의 지도부는 강선강선강선우 여성가족부 장관 후보자를 옹호하는 기류가 여전하다,0.392156862745098,1.0,1.0,1.0,1.0
앵커 의대생과 전공의 복귀 논의가 급물살을 타고 있습니다 복귀에 있어서 특혜를 줘서는 안 된다는 반대 여론도 만만치 않습니다 이런 가운데 의대 총장들은 복귀하는 의대생을 위해 의사...,진선민 기자가 보도합니다 리포트 복귀 의사를 의대생과 전공의 복귀 논의가 급물살을 타고 있는 가운데 복귀에 있어서 특혜를 줘서는 안 된다는 반대 여론도 만만치 않습니다,0.6875000000000001,1.0,1.0,1.0,1.0
앵커 법원이 이재명 대통령의 대북송금 혐의 재판을 연기하기로 했습니다 이로써 이 대통령이 받아온 다섯 개 형사재판이 모두 중단됐습니다 신현욱 기자의 보도입니다 리포트 이재명 대통령...,이재명 대통령이 제3자 뇌물 혐의로 재판을 받고 있던 대북송금 사건  경기도지사 시절 경기도가 북한에 북한에 지급할 사업비 등 800만 달러를 쌍방울로부 800만 달러를 쌍방울로써...,0.7384615384615385,1.0,1.0,1.0,1.0
